epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4538.01,1.16352,1.19311,1.19039,0.6985,0.48092,0.56147,0.35127,1.29158,1.27201,1.28636,0.0011882,0.0011882,0.0011882
43,4642.76,1.1499,1.2005,1.18702,0.66184,0.50051,0.56346,0.35055,1.26609,1.25963,1.29779,0.0011684,0.0011684,0.0011684
44,4747.95,1.14674,1.16439,1.17988,0.72348,0.53817,0.60589,0.37821,1.21999,1.18969,1.27535,0.0011486,0.0011486,0.0011486
45,4853.72,1.13633,1.15402,1.17757,0.72257,0.54962,0.59993,0.37123,1.27684,1.21132,1.28301,0.0011288,0.0011288,0.0011288
46,4958.53,1.13398,1.15152,1.17795,0.70919,0.55849,0.60548,0.37404,1.25953,1.20358,1.27041,0.001109,0.001109,0.001109
47,5063.41,1.1303,1.1179,1.16507,0.71196,0.51908,0.58216,0.36586,1.27808,1.23477,1.28504,0.0010892,0.0010892,0.0010892
48,5168.36,1.12301,1.11897,1.1655,0.68185,0.53817,0.59595,0.37289,1.25171,1.20957,1.27372,0.0010694,0.0010694,0.0010694
49,5273.15,1.10319,1.10552,1.15265,0.6425,0.55725,0.57659,0.36673,1.26898,1.22194,1.27563,0.0010496,0.0010496,0.0010496
50,5378.1,1.10401,1.09902,1.1478,0.66532,0.53817,0.58504,0.36139,1.24247,1.21596,1.27017,0.0010298,0.0010298,0.0010298
51,5483.1,1.08408,1.08208,1.14364,0.68462,0.53817,0.60783,0.36819,1.27029,1.16712,1.29276,0.00101,0.00101,0.00101
52,5588.69,1.08612,1.06616,1.14432,0.68067,0.55725,0.59265,0.37081,1.23418,1.20075,1.27379,0.0009902,0.0009902,0.0009902
53,5696.89,1.07189,1.03937,1.13841,0.64234,0.55725,0.60192,0.37108,1.2595,1.16193,1.27519,0.0009704,0.0009704,0.0009704
54,5804.5,1.07552,1.05494,1.13175,0.62854,0.56107,0.60399,0.37938,1.2516,1.14045,1.28907,0.0009506,0.0009506,0.0009506
55,5912.51,1.08465,1.03724,1.15447,0.73787,0.53053,0.58694,0.36447,1.26823,1.19068,1.29098,0.0009308,0.0009308,0.0009308
56,6020.8,1.07351,1.02158,1.13641,0.74898,0.53435,0.61506,0.38702,1.23731,1.14093,1.25716,0.000911,0.000911,0.000911
57,6129.9,1.06135,1.01922,1.13295,0.6529,0.60305,0.6313,0.39331,1.22927,1.11883,1.23937,0.0008912,0.0008912,0.0008912
58,6238.47,1.06202,0.99308,1.12162,0.71112,0.55344,0.62239,0.39217,1.22167,1.15446,1.25006,0.0008714,0.0008714,0.0008714
59,6346.4,1.0304,0.96605,1.1117,0.65919,0.5687,0.61665,0.38671,1.23148,1.17239,1.24462,0.0008516,0.0008516,0.0008516
60,6454.56,1.03927,0.97338,1.10766,0.67527,0.58015,0.62911,0.39939,1.21367,1.16905,1.22986,0.0008318,0.0008318,0.0008318
61,6563.1,1.02453,0.95596,1.10213,0.67609,0.59751,0.63059,0.39075,1.2525,1.16258,1.28544,0.000812,0.000812,0.000812
62,6670.64,1.03375,0.95533,1.10584,0.64733,0.60251,0.61986,0.38713,1.21892,1.14285,1.23222,0.0007922,0.0007922,0.0007922
63,6778.59,1.03006,0.93601,1.09962,0.67074,0.58314,0.63589,0.39875,1.22119,1.1045,1.22776,0.0007724,0.0007724,0.0007724
64,6886.64,1.0136,0.93474,1.08922,0.70102,0.58397,0.64038,0.40492,1.20578,1.11104,1.21087,0.0007526,0.0007526,0.0007526
65,6994.24,1.00816,0.9133,1.09715,0.66566,0.59924,0.62434,0.39098,1.21828,1.14872,1.21382,0.0007328,0.0007328,0.0007328
66,7101.68,0.99936,0.91135,1.08665,0.69462,0.57634,0.63177,0.40183,1.2335,1.158,1.24719,0.000713,0.000713,0.000713
67,7209.22,0.99973,0.90249,1.0935,0.64596,0.59924,0.61034,0.39533,1.23502,1.13221,1.2387,0.0006932,0.0006932,0.0006932
68,7316.91,0.99647,0.89912,1.07897,0.75062,0.55145,0.63587,0.40073,1.22434,1.11288,1.23273,0.0006734,0.0006734,0.0006734
69,7424.81,0.99644,0.88753,1.0866,0.78021,0.51908,0.63226,0.40746,1.20211,1.12904,1.19906,0.0006536,0.0006536,0.0006536
70,7532.31,0.97616,0.87103,1.06456,0.69007,0.58397,0.62152,0.40669,1.19317,1.11834,1.19774,0.0006338,0.0006338,0.0006338
71,7640.15,0.98369,0.87344,1.06757,0.68482,0.57223,0.6275,0.40494,1.20447,1.09509,1.19285,0.000614,0.000614,0.000614
72,7748,0.98173,0.87635,1.06557,0.79019,0.54624,0.6282,0.40539,1.20876,1.10964,1.19928,0.0005942,0.0005942,0.0005942
73,7855.46,0.95526,0.84185,1.06138,0.64409,0.6145,0.61416,0.39396,1.22168,1.16397,1.20322,0.0005744,0.0005744,0.0005744
74,7963.29,0.97074,0.84801,1.06152,0.71595,0.59924,0.63738,0.40803,1.21191,1.10637,1.21444,0.0005546,0.0005546,0.0005546
75,8070.43,0.95432,0.83329,1.05569,0.68406,0.60305,0.63146,0.40389,1.19262,1.0993,1.20031,0.0005348,0.0005348,0.0005348
76,8178.25,0.94809,0.81406,1.0555,0.72068,0.58101,0.62238,0.40899,1.19965,1.07096,1.20105,0.000515,0.000515,0.000515
77,8286.39,0.93822,0.8003,1.04563,0.75827,0.5687,0.64209,0.41574,1.20667,1.06705,1.2171,0.0004952,0.0004952,0.0004952
78,8396.09,0.93855,0.80707,1.04911,0.68296,0.58397,0.62776,0.40235,1.23726,1.10539,1.22181,0.0004754,0.0004754,0.0004754
79,8504.52,0.92856,0.7874,1.04382,0.72672,0.56489,0.62647,0.40639,1.219,1.10966,1.21192,0.0004556,0.0004556,0.0004556
80,8612.36,0.93707,0.78534,1.04203,0.68246,0.6145,0.63897,0.40779,1.22265,1.10731,1.21558,0.0004358,0.0004358,0.0004358
81,8719.63,0.9204,0.78212,1.03884,0.6574,0.58779,0.61634,0.40353,1.2201,1.13326,1.20959,0.000416,0.000416,0.000416
82,8826.53,0.91959,0.76784,1.02893,0.70302,0.58779,0.62682,0.4024,1.20696,1.12144,1.20112,0.0003962,0.0003962,0.0003962
83,8933.91,0.91849,0.75796,1.02969,0.6982,0.59924,0.63275,0.41104,1.19554,1.12512,1.17703,0.0003764,0.0003764,0.0003764
84,9041.35,0.9127,0.76551,1.03226,0.70125,0.61819,0.64024,0.41333,1.21834,1.07853,1.20319,0.0003566,0.0003566,0.0003566
85,9149.11,0.91102,0.76505,1.02907,0.72269,0.59681,0.65017,0.41556,1.19239,1.05247,1.19035,0.0003368,0.0003368,0.0003368
86,9256.6,0.89845,0.7289,1.02154,0.69245,0.6145,0.64668,0.41341,1.20651,1.05829,1.20492,0.000317,0.000317,0.000317
87,9364.18,0.88145,0.73016,1.01421,0.67531,0.61127,0.64055,0.4149,1.2109,1.07971,1.1991,0.0002972,0.0002972,0.0002972
88,9472.08,0.88362,0.71479,1.01156,0.71397,0.62214,0.65501,0.42176,1.20468,1.0625,1.19519,0.0002774,0.0002774,0.0002774
89,9579.47,0.89006,0.72986,1.01567,0.68605,0.61721,0.6505,0.42168,1.21411,1.05342,1.19946,0.0002576,0.0002576,0.0002576
90,9686.48,0.88009,0.71716,1.01267,0.69712,0.6145,0.64899,0.42192,1.20795,1.06691,1.19117,0.0002378,0.0002378,0.0002378
91,9810.81,0.87531,0.68683,0.9897,0.69031,0.61069,0.64031,0.41042,1.23349,1.09998,1.23602,0.000218,0.000218,0.000218
92,9917.72,0.84866,0.63433,0.97884,0.71748,0.61832,0.64305,0.41779,1.22221,1.08755,1.22971,0.0001982,0.0001982,0.0001982
93,10024.9,0.86111,0.63152,0.98812,0.71252,0.61069,0.65444,0.42032,1.23384,1.07592,1.23111,0.0001784,0.0001784,0.0001784
94,10132.1,0.8363,0.62406,0.97417,0.70241,0.61832,0.65513,0.42141,1.24327,1.06793,1.2322,0.0001586,0.0001586,0.0001586
95,10239,0.83468,0.60958,0.96761,0.74089,0.61069,0.65579,0.41661,1.22975,1.07601,1.22844,0.0001388,0.0001388,0.0001388
96,10345.7,0.83204,0.61652,0.96969,0.75617,0.59924,0.65904,0.42351,1.21178,1.07612,1.21401,0.000119,0.000119,0.000119
97,10453.1,0.8223,0.59978,0.96491,0.78638,0.60417,0.65775,0.42288,1.21136,1.08684,1.209,9.92e-05,9.92e-05,9.92e-05
98,10560.5,0.82625,0.59134,0.95719,0.7685,0.59552,0.66036,0.42558,1.22137,1.08002,1.22844,7.94e-05,7.94e-05,7.94e-05
99,10667.6,0.81591,0.5945,0.95449,0.76326,0.59924,0.65824,0.42561,1.21921,1.09125,1.22919,5.96e-05,5.96e-05,5.96e-05
100,10773.3,0.81671,0.57588,0.95815,0.71939,0.61069,0.65596,0.42506,1.2244,1.10157,1.23241,3.98e-05,3.98e-05,3.98e-05
